"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Cum.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Student ID"
8191163,202220,16,16,87,NA
8191163,202310,18,18,105,NA
8191163,202320,15,15,120,NA
8191163,202410,15,15,135,NA
8191163,202415,6,6,141,NA
8191163,202420,15,15,156,NA
8191163,202510,NA,NA,156,NA
8191209,202210,9,18,18,NA
8191209,202220,17,17,35,NA
8191209,202310,14,14,49,NA
8191209,202320,13,13,62,NA
8191209,202410,16,16,78,NA
8191209,202420,15,15,93,NA
8191209,202510,NA,NA,93,NA
8191401,202210,15,15,15,NA
8191401,202220,13,13,28,NA
8191401,202310,15,15,43,NA
8191401,202320,15,15,58,NA
8191401,202330,4,4,62,NA
8191401,202410,15,15,77,NA
8191401,202420,15,15,92,NA
8191401,202510,NA,NA,92,NA
8191431,202210,13,13,13,NA
8191431,202215,3,3,16,NA
8191431,202220,14,14,30,NA
8191431,202310,15,15,45,NA
8191431,202320,15,15,60,NA
8191431,202410,15,15,75,NA
8191431,202420,12,12,87,NA
8191431,202510,NA,NA,87,NA
8191448,202210,15,31,31,NA
8191448,202220,16,16,47,NA
8191448,202310,16,16,63,NA
8191448,202320,15,15,78,NA
8191448,202410,18.5,18.5,96.5,NA
8191448,202420,15,15,111.5,NA
8191448,202510,NA,NA,111.5,NA
8191595,202210,16,26,26,NA
8191595,202220,15,15,41,NA
8191595,202310,15,15,56,NA
8191595,202320,15,15,71,NA
8191595,202410,15,15,86,NA
8191595,202420,14,14,100,NA
8191595,202510,NA,NA,100,NA
8191633,202210,16,20,20,NA
8191633,202215,3,3,23,NA
8191633,202220,17,17,40,NA
8191633,202310,20,20,60,NA
8191633,202320,15,15,75,NA
8191633,202410,16,16,91,NA
8191633,202415,3,3,94,NA
8191633,202420,20,20,114,NA
8191633,202510,NA,NA,114,NA
8191633,202515,NA,NA,114,NA
8191653,202210,15,65,65,NA
8191653,202215,3,3,68,NA
8191653,202220,17,17,85,NA
8191653,202310,18,18,103,NA
8191653,202320,15,15,118,NA
8191653,202410,15,15,133,NA
8191653,202420,15,15,148,NA
8191700,202210,15,47,47,NA
8191700,202220,17,17,64,NA
8191700,202310,15,15,79,NA
8191700,202320,15,15,94,NA
8191700,202410,15,15,109,NA
8191700,202420,15,15,124,NA
8191700,202510,NA,NA,124,NA
8191862,202210,15,34,34,NA
8191862,202220,16,16,50,NA
8191862,202310,15,15,65,NA
8191862,202320,15,15,80,NA
8191862,202410,17,17,97,NA
8191862,202415,3,3,100,NA
8191862,202420,15,15,115,NA
8191862,202510,NA,NA,115,NA
8191921,202210,15,39,39,NA
8191921,202215,3,3,42,NA
8191921,202220,13,13,55,NA
8191921,202230,12,12,67,NA
8191921,202310,15,15,82,NA
8191921,202315,3,3,85,NA
8191921,202320,15,15,100,NA
8191921,202410,12,12,112,NA
8191921,202420,15,15,127,NA
8191921,202510,NA,NA,127,NA
8191938,202210,12,18,18,NA
8191938,202220,15,15,33,NA
8191938,202310,16,16,49,NA
8191938,202320,15,15,64,NA
8191938,202410,15,15,79,NA
8191938,202420,15,15,94,NA
8191938,202510,NA,NA,94,NA
8192388,202210,18,46,46,NA
8192388,202215,3,3,49,NA
8192388,202220,18,18,67,NA
8192388,202310,20,20,87,NA
8192388,202315,4,4,91,NA
8192388,202320,16,16,107,NA
8192388,202330,9,9,116,NA
8192388,202410,19,19,135,NA
8192388,202415,3,3,138,NA
8192388,202420,16,16,154,NA
8192388,202510,NA,NA,154,NA
8192462,202210,17,43,43,NA
8192462,202220,12,12,55,NA
8192462,202310,15,15,70,NA
8192462,202315,6,6,76,NA
8192462,202320,16,16,92,NA
8192462,202330,6,6,98,NA
8192462,202410,16,16,114,NA
8192462,202420,12,12,126,NA
8192462,202510,NA,NA,126,NA
8192597,202210,15,21,21,NA
8192597,202220,17,17,38,NA
8192597,202310,16,16,54,NA
8192597,202320,12,12,66,NA
8192597,202410,12,12,78,NA
8192597,202420,15,15,93,NA
8192597,202510,NA,NA,93,NA
8192597,202515,NA,NA,93,NA
8192653,202210,15,21,21,NA
8192653,202220,14,14,35,NA
8192653,202310,16,16,51,NA
8192653,202320,15,15,66,NA
8192653,202410,15,15,81,NA
8192653,202420,15,15,96,NA
8192653,202510,NA,NA,96,NA
8192696,202210,16,24,24,NA
8192696,202220,16,16,40,NA
8192696,202310,17,17,57,NA
8192696,202320,15,15,72,NA
8192696,202410,15,15,87,NA
8192696,202420,15,15,102,NA
8192696,202510,NA,NA,102,NA
8192894,202210,16,19,19,NA
8192894,202220,16,16,35,NA
8192894,202230,6,6,41,NA
8192894,202310,19,19,60,NA
8192894,202315,1,1,61,NA
8192894,202320,16,16,77,NA
8192894,202330,3,3,80,NA
8192894,202410,16,16,96,NA
8192894,202415,3,3,99,NA
8192894,202420,14,14,113,NA
8192894,202510,NA,NA,113,NA
8192894,202515,NA,NA,113,NA
8192960,202210,15,47,47,NA
8192960,202220,16,16,63,NA
8192960,202310,15,15,78,NA
8192960,202320,15,15,93,NA
8192960,202410,15,15,108,NA
8192960,202420,15,15,123,NA
8192960,202510,NA,NA,123,NA
8192966,202210,15,44,44,NA
8192966,202220,15,15,59,NA
8192966,202310,16,16,75,NA
8192966,202320,15,15,90,NA
8192966,202410,15,15,105,NA
8192966,202420,15,15,120,NA
8192966,202510,NA,NA,120,NA
8193010,202210,16,44,44,NA
8193010,202220,17,17,61,NA
8193010,202230,2,2,63,NA
8193010,202310,15,15,78,NA
8193010,202320,14,14,92,NA
8193010,202330,3,3,95,NA
8193010,202410,15,18,113,NA
8193010,202420,15,15,128,NA
8193010,202430,3,3,131,NA
8193010,202510,NA,NA,131,NA
8193320,202210,12,23,23,NA
8193320,202220,16,16,39,NA
8193320,202310,16,16,55,NA
8193320,202320,15,15,70,NA
8193320,202410,15,15,85,NA
8193320,202420,18,18,103,NA
8193320,202510,NA,NA,103,NA
8193405,202210,15,15,15,NA
8193405,202220,16.5,16.5,31.5,NA
8193405,202310,14,14,45.5,NA
8193405,202320,14,14,59.5,NA
8193405,202410,15,15,74.5,NA
8193405,202420,15,15,89.5,NA
8193405,202510,NA,NA,89.5,NA
8193409,202210,15,39,39,NA
8193409,202215,1,1,40,NA
8193409,202220,16,16,56,NA
8193409,202310,15,15,71,NA
8193409,202320,15,15,86,NA
8193409,202410,0,12,98,NA
8193409,202420,15,15,113,NA
8193409,202510,NA,NA,113,NA
8193507,202210,15,27,27,NA
8193507,202220,16,16,43,NA
8193507,202310,15,15,58,NA
8193507,202320,16,16,74,NA
8193507,202410,14,14,88,NA
8193507,202415,6,6,94,NA
8193507,202420,14,14,108,NA
8193507,202510,NA,NA,108,NA
8193533,202210,17,44,44,NA
8193533,202220,15,15,59,NA
8193533,202310,15,15,74,NA
8193533,202320,18,18,92,NA
8193533,202330,6,6,98,NA
8193533,202410,18,18,116,NA
8193533,202420,15,15,131,NA
8193533,202430,3,3,134,NA
8193533,202510,NA,NA,134,NA
8193928,202210,10,10,10,NA
8193928,202215,3,3,13,NA
8193928,202220,14,14,27,NA
8193928,202310,15,15,42,NA
8193928,202315,3,3,45,NA
8193928,202320,15,15,60,NA
8193928,202410,12,12,72,NA
8193928,202420,15,15,87,NA
8193928,202510,NA,NA,87,NA
8193985,202210,15,31,31,NA
8193985,202220,12,12,43,NA
8193985,202310,15,15,58,NA
8193985,202320,15,15,73,NA
8193985,202410,17,17,90,NA
8193985,202420,17,17,107,NA
8193985,202510,NA,NA,107,NA
8194047,202210,12,12,12,NA
8194047,202220,15.5,15.5,27.5,NA
8194129,202130,4,4,4,NA
8194129,202210,14,22,26,NA
8194129,202220,14,14,40,NA
8194129,202310,15,15,55,NA
8194129,202320,15,15,70,NA
8194129,202410,12,17,87,NA
8194129,202420,16,16,103,NA
8194129,202510,0,0,103,NA
8194253,202210,17,62,62,NA
8194253,202215,4,4,66,NA
8194253,202220,18,18,84,NA
8194253,202310,18,18,102,NA
8194253,202315,3,3,105,NA
8194253,202320,NA,NA,105,NA
8194253,202410,19,19,124,NA
8194253,202420,15,15,139,NA
8194253,202510,NA,NA,139,NA
8194395,202210,13.5,13.5,13.5,NA
8194395,202215,3,3,16.5,NA
8194395,202220,15,15,31.5,NA
8194395,202310,15,15,46.5,NA
8194395,202315,3,3,49.5,NA
8194395,202320,13,13,62.5,NA
8194395,202330,2,2,64.5,NA
8194395,202410,17,17,81.5,NA
8194395,202415,3,3,84.5,NA
8194395,202420,12,12,96.5,NA
8194395,202430,3,6,102.5,NA
8194395,202510,NA,NA,102.5,NA
8194395,202515,NA,NA,102.5,NA
8194395,202520,NA,NA,102.5,NA
8194432,202210,15,21,21,NA
8194432,202220,15,15,36,NA
8194432,202310,15,15,51,NA
8194432,202320,15,15,66,NA
8194432,202410,15,15,81,NA
8194432,202420,12,12,93,NA
8194432,202510,NA,NA,93,NA
8194665,202210,14,20,20,NA
8194665,202220,12,12,32,NA
8194665,202230,3,3,35,NA
8194665,202310,12,12,47,NA
8194665,202320,16,16,63,NA
8194665,202410,15,15,78,NA
8194665,202415,3,3,81,NA
8194665,202420,16,16,97,NA
8194665,202510,NA,NA,97,NA
8194665,202515,NA,NA,97,NA
8194665,202520,NA,NA,97,NA
8194805,202210,16,50,50,NA
8194805,202220,13,13,63,NA
8194805,202310,15,15,78,NA
8194805,202320,18,18,96,NA
8194805,202330,0,7,103,NA
8194805,202410,15,15,118,NA
8194805,202420,15,15,133,NA
8194805,202510,NA,NA,133,NA
8195074,202210,17,17,17,NA
8195074,202220,19,19,36,NA
8195074,202230,6,6,42,NA
8195074,202310,17,17,59,NA
8195074,202315,0,3,NA,NA
8195074,202320,18,18,80,NA
8195074,202330,6,6,86,NA
8195074,202410,18,18,104,NA
8195074,202420,18,18,122,NA
8195074,202430,0,0,122,NA
8195074,202510,NA,NA,122,NA
8195115,202210,13,16,16,NA
8195115,202215,6,6,22,NA
8195115,202220,15,15,37,NA
8195115,202310,15,15,52,NA
8195115,202320,15,15,67,NA
8195115,202410,0,15,82,NA
8195115,202420,15,15,97,NA
8195115,202510,NA,NA,97,NA
8195153,202210,19,56,56,NA
8195153,202220,20,20,76,NA
8195153,202310,19,19,95,NA
8195153,202315,3,3,98,NA
8195153,202320,16,16,114,NA
8195153,202410,15,15,129,NA
8195153,202420,15,15,144,NA
8195153,202510,0,0,144,NA
8195158,202210,15,36,36,NA
8195158,202220,17,17,53,NA
8195158,202310,15,15,68,NA
8195158,202320,18,18,86,NA
8195158,202410,14,14,100,NA
8195158,202420,16,16,116,NA
8195158,202430,6,6,122,NA
8195158,202510,NA,NA,122,NA
8195158,202515,NA,NA,122,NA
8195188,202210,17,28,28,NA
8195188,202220,16,16,44,NA
8195188,202310,16,16,60,NA
8195188,202320,0,16,76,NA
8195188,202410,15,15,91,NA
8195188,202420,15,15,106,NA
8195188,202510,NA,NA,106,NA
8195188,202515,NA,NA,106,NA
8195281,202210,12,18,18,NA
8195281,202220,12,12,30,NA
8195281,202310,14,14,44,NA
8195281,202320,15,15,59,NA
8195281,202410,9,9,68,NA
8195281,202415,3,3,71,NA
8195281,202420,15,15,86,NA
8195281,202430,3,3,89,NA
8195281,202510,NA,NA,89,NA
8195281,202515,NA,NA,89,NA
8195689,202210,15,34,34,NA
8195689,202220,15,15,49,NA
8195689,202310,12,12,61,NA
8195689,202320,15,15,76,NA
8195689,202410,15,15,91,NA
8195689,202420,12,12,103,NA
8195689,202510,NA,NA,103,NA
8195899,202210,15,24,24,NA
8195899,202215,6,6,30,NA
8195899,202220,13,16,46,NA
8195899,202310,17,17,63,NA
8195899,202315,3,3,66,NA
8195899,202320,17,17,83,NA
8195899,202410,15,15,98,NA
8195899,202420,12,12,110,NA
8195899,202430,3,3,113,NA
8195899,202510,NA,NA,113,NA
8195925,202210,15,18,18,NA
8195925,202220,16,16,34,NA
8195925,202310,15,15,49,NA
8195925,202315,3,3,52,NA
8195925,202320,15,15,67,NA
8195925,202410,15,15,82,NA
8195925,202415,3,3,85,NA
8195925,202420,12,12,97,NA
8195925,202510,NA,NA,97,NA
8196046,202210,17,44,44,NA
8196046,202220,13,13,57,NA
8196046,202310,15,15,72,NA
8196046,202320,15,15,87,NA
8196046,202410,15,15,102,NA
8196046,202415,3,3,105,NA
8196046,202420,15,15,120,NA
8196046,202430,0,0,120,NA
8196046,202510,NA,NA,120,NA
8196844,202210,16,34,34,NA
8196844,202220,16,16,50,NA
8196844,202230,6,6,56,NA
8196844,202310,16,16,72,NA
8196844,202320,16,16,88,NA
8196844,202330,3,3,91,NA
8196844,202410,0,15,106,NA
8196844,202415,3,3,109,NA
8196844,202420,13,13,122,NA
8196844,202510,NA,NA,122,NA
8196844,202515,NA,NA,122,NA
8196920,202210,15,21,21,NA
8196920,202215,3,3,24,NA
8196920,202220,16,16,40,NA
8196920,202310,15,15,55,NA
8196920,202320,14,14,69,NA
8196920,202410,15,15,84,NA
8196920,202415,6,6,90,NA
8196920,202420,15,15,105,NA
8196920,202510,NA,NA,105,NA
8196920,202520,NA,NA,105,NA
8197080,202210,14,57,57,NA
8197080,202220,15,15,72,NA
8197080,202230,6,6,78,NA
8197080,202310,15,15,93,NA
8197080,202315,3,3,96,NA
8197080,202320,15,15,111,NA
8197080,202410,15,15,126,NA
8197080,202415,6,6,132,NA
8197080,202420,12,12,144,NA
8197080,202510,NA,NA,144,NA
8197429,202210,16,16,16,NA
8197429,202220,16,16,32,NA
8197429,202310,16,16,48,NA
8197429,202320,13,13,61,NA
8197429,202410,15,15,76,NA
8197429,202420,13.5,13.5,89.5,NA
8197429,202510,NA,NA,89.5,NA
8197493,202210,9,18,18,NA
8197493,202220,12,12,30,NA
8197493,202230,3,3,33,NA
8197493,202310,17,17,50,NA
8197493,202315,3,3,53,NA
8197493,202320,14,14,67,NA
8197493,202330,6,6,73,NA
8197493,202410,15,15,88,NA
8197493,202415,3,3,91,NA
8197493,202420,9,9,100,NA
8197493,202430,6,9,109,NA
8197493,202510,0,0,109,NA
8197967,202210,17,17,17,NA
8197967,202220,14,14,31,NA
8197967,202310,15,15,46,NA
8197967,202320,15,15,61,NA
8197967,202410,16,16,77,NA
8197967,202420,15,15,92,NA
8197967,202510,NA,NA,92,NA
8198301,202210,16,16,16,NA
8198301,202215,3,3,19,NA
8198301,202220,17,17,36,NA
8198301,202310,12,12,48,NA
8198301,202320,14,14,62,NA
8198301,202410,15,15,77,NA
8198301,202415,1,1,78,NA
8198301,202420,12,12,90,NA
8198301,202510,NA,NA,90,NA
8198848,202210,17,28,28,NA
8198848,202220,15,15,43,NA
8198848,202310,15,15,58,NA
8198848,202320,14,14,72,NA
8198848,202410,15,15,87,NA
8198848,202420,15,15,102,NA
8198848,202510,NA,NA,102,NA
8199244,202210,16,36,36,NA
8199244,202220,15,15,51,NA
8199244,202310,17,17,68,NA
8199244,202320,15,15,83,NA
8199244,202410,12,12,95,NA
8199244,202420,15,15,110,NA
8199244,202510,NA,NA,110,NA
8199396,202210,15,27,27,NA
8199396,202220,12,12,39,NA
8199396,202310,15,15,54,NA
8199396,202320,15,15,69,NA
8199396,202410,15,15,84,NA
8199396,202420,15,15,99,NA
8199396,202510,2,2,101,NA
8199444,202210,12,18,18,NA
8199444,202220,17,17,35,NA
8199444,202310,16,16,51,NA
8199444,202320,16,16,67,NA
8199444,202410,15,15,82,NA
8199444,202415,3,3,85,NA
8199444,202420,15,15,100,NA
8199444,202510,NA,NA,100,NA
8199524,202210,15,51,51,NA
8199524,202220,14,14,65,NA
8199524,202310,15,15,80,NA
8199524,202320,15,15,95,NA
8199524,202410,12,12,107,NA
8199524,202420,12,12,119,NA
8199524,202510,NA,NA,119,NA
8199879,202210,9,9,9,NA
8199879,202215,3,3,12,NA
8199879,202220,14,14,26,NA
8199879,202230,3,3,29,NA
8199879,202310,14,14,43,NA
8199879,202320,12,12,55,NA
8199879,202410,12,12,67,NA
8199879,202420,12,12,79,NA
8199879,202430,1,1,80,NA
8199879,202510,NA,NA,80,NA
8199879,202515,NA,NA,80,NA
8199970,202210,16,28,28,NA
8199970,202220,15,15,43,NA
8199970,202310,15,15,58,NA
8199970,202320,15,15,73,NA
8199970,202410,15,15,88,NA
8199970,202420,12,12,100,NA
8199970,202510,NA,NA,100,NA
8200504,202210,15,50,50,NA
8200504,202220,12,12,62,NA
8200504,202310,15,15,77,NA
8200504,202320,15,15,92,NA
8200504,202410,12,12,104,NA
8200504,202420,18,18,122,NA
8200504,202510,NA,NA,122,NA
8200777,202210,17,17,17,NA
8200777,202220,14,14,31,NA
8200777,202230,3,3,34,NA
8200777,202310,14,14,48,NA
8200777,202320,15,15,63,NA
8200777,202410,13,13,76,NA
8200777,202420,15,15,91,NA
8200777,202510,NA,NA,91,NA
8201100,202210,15,15,15,NA
8201100,202215,3,3,18,NA
8201100,202220,15,15,33,NA
8201100,202310,16,16,49,NA
8201100,202320,15,15,64,NA
8201100,202410,18,18,82,NA
8201100,202415,6,6,88,NA
8201100,202420,15,15,103,NA
8201100,202510,NA,NA,103,NA
8201347,202210,17,41,41,NA
8201347,202215,1,1,42,NA
8201347,202220,14,14,56,NA
8201347,202310,15,15,71,NA
8201347,202315,6,6,77,NA
8201347,202320,15,15,92,NA
8201347,202410,12,12,104,NA
8201347,202420,17,17,121,NA
8201347,202510,NA,NA,121,NA
8201387,202210,15,15,15,NA
8201387,202220,14,14,29,NA
8201387,202310,13,16,45,NA
8201387,202315,3,3,48,NA
8201387,202320,18,18,66,NA
8201387,202410,18,18,84,NA
8201387,202415,6,6,90,NA
8201387,202420,17,17,107,NA
8201387,202430,2,2,109,NA
8201387,202510,NA,NA,109,NA
8201387,202515,NA,NA,109,NA
8201387,202520,NA,NA,109,NA
8201493,202210,16,29,29,NA
8201493,202220,14,14,43,NA
8201493,202230,6,6,49,NA
8201493,202310,12,12,61,NA
8201493,202320,13,13,74,NA
8201493,202410,15,15,89,NA
8201493,202420,12,12,101,NA
8201493,202510,0,0,101,NA
8201493,202515,NA,NA,101,NA
8201706,202210,17,45,45,NA
8201706,202220,14,14,59,NA
8201706,202310,17,17,76,NA
8201706,202320,13,13,89,NA
8201706,202410,15,15,104,NA
8201706,202420,13,13,117,NA
8201706,202510,NA,NA,117,NA
8201733,202210,17,34,34,NA
8201733,202220,12,12,46,NA
8201733,202310,15,15,61,NA
8201733,202320,13,13,74,NA
8201733,202330,3,3,77,NA
8201733,202410,0,16,93,NA
8201733,202420,15,15,108,NA
8201733,202510,NA,NA,108,NA
8202241,202210,15,58,58,NA
8202241,202220,15,15,73,NA
8202241,202310,12,12,85,NA
8202241,202315,3,3,88,NA
8202241,202320,15,15,103,NA
8202241,202410,12,12,115,NA
8202241,202420,0,12,127,NA
8202241,202510,NA,NA,127,NA
8202349,202210,15,15,15,NA
8202349,202220,14,18,33,NA
8202349,202310,13,13,46,NA
8202349,202315,6,6,52,NA
8202349,202320,19,19,71,NA
8202349,202410,0,15,86,NA
8202349,202420,19,19,105,NA
8202349,202430,4,4,109,NA
8202349,202510,NA,NA,109,NA
8202349,202515,NA,NA,109,NA
8202613,202410,12,12,12,NA
8202613,202420,14,14,26,NA
8202613,202510,0,0,26,NA
8202624,202210,15,18,18,NA
8202624,202220,17,17,35,NA
8202624,202310,12,12,47,NA
8202624,202320,9,9,56,NA
8202624,202330,3,3,59,NA
8202624,202410,12,12,71,NA
8202624,202415,3,3,74,NA
8202624,202420,18,18,92,NA
8202624,202430,6,6,98,NA
8202624,202510,NA,NA,98,NA
8202719,202210,16,23,23,NA
8202719,202220,15,15,38,NA
8202719,202310,15,15,53,NA
8202719,202320,16,16,69,NA
8202719,202330,3,3,72,NA
8202719,202410,16,16,88,NA
8202719,202415,6,6,94,NA
8202719,202420,13,13,107,NA
8202719,202510,NA,NA,107,NA
8202810,202210,15,15,15,NA
8202810,202220,12,12,27,NA
8202810,202310,14,14,41,NA
8202810,202315,3,3,44,NA
8202810,202320,13,13,57,NA
8202810,202410,15,15,72,NA
8202810,202415,6,6,78,NA
8202810,202420,15,15,93,NA
8202810,202430,6,6,99,NA
8202810,202510,NA,NA,99,NA
8203289,202210,16,39,39,NA
8203289,202220,15,15,54,NA
8203348,202210,15,57,57,NA
8203348,202220,16,16,73,NA
8203348,202310,19,19,92,NA
8203348,202320,18,18,110,NA
8203348,202410,18,18,128,NA
8203348,202420,15,15,143,NA
8203348,202510,NA,NA,143,NA
8203595,202310,17,26,26,NA
8203595,202320,17,17,43,NA
8203595,202410,16,16,59,NA
8203595,202420,15,15,74,NA
8203595,202510,NA,NA,74,NA
8203607,202210,15,15,15,NA
8203607,202220,16,16,31,NA
8203607,202310,16,16,47,NA
8203607,202320,16,16,63,NA
8203607,202410,17,17,80,NA
8203607,202420,15,15,95,NA
8204022,202210,18,54,54,NA
8204022,202215,3,3,57,NA
8204022,202220,12,12,69,NA
8204022,202310,18,18,87,NA
8204022,202320,12,12,99,NA
8204022,202410,12,12,111,NA
8204022,202415,6,6,117,NA
8204022,202420,18,18,135,NA
8204070,202210,16,19,19,NA
8204070,202220,17,17,36,NA
8204070,202310,18,18,54,NA
8204070,202320,0,16,70,NA
8204070,202410,15,15,85,NA
8204070,202420,15,15,100,NA
8204070,202510,NA,NA,100,NA
8204130,202210,15,15,15,NA
8204130,202220,9,9,24,NA
8204130,202310,12,12,36,NA
8204130,202315,6,6,42,NA
8204130,202320,15,15,57,NA
8204130,202410,0,13,70,NA
8204130,202415,6,6,76,NA
8204130,202420,18,18,94,NA
8204130,202510,NA,NA,94,NA
8204130,202515,NA,NA,94,NA
8204447,202210,10,10,10,NA
8204447,202220,15,15,25,NA
8204447,202310,15,15,40,NA
8204447,202320,14,14,54,NA
8204447,202410,12,12,66,NA
8204447,202420,18,18,84,NA
8204447,202510,NA,NA,84,NA
8204564,202210,16,28,28,NA
8204564,202215,3,3,31,NA
8204564,202220,15,15,46,NA
8204564,202230,3,3,49,NA
8204564,202310,16,16,65,NA
8204564,202315,6,6,71,NA
8204564,202320,15,15,86,NA
8204564,202410,15,15,101,NA
8204564,202415,6,6,107,NA
8204564,202420,15,15,122,NA
8204564,202510,NA,NA,122,NA
8204994,202210,15,50,50,NA
8204994,202220,16,16,66,NA
8204994,202310,16,16,82,NA
8204994,202320,15,15,97,NA
8204994,202410,15,15,112,NA
8204994,202420,7.5,7.5,119.5,NA
8204994,202430,3,3,122.5,NA
8204994,202510,NA,NA,122.5,NA
8205151,202210,15,47,47,NA
8205151,202220,15,15,62,NA
8205151,202310,16,16,78,NA
8205151,202320,16,16,94,NA
8205151,202330,0,0,94,NA
8205151,202410,15,15,109,NA
8205151,202420,15,15,124,NA
8205151,202510,NA,NA,124,NA
8205333,202210,17,29,29,NA
8205333,202220,17,17,46,NA
8205333,202310,18,18,64,NA
8205333,202320,18,18,82,NA
8205333,202330,3,3,85,NA
8205333,202410,17,17,102,NA
8205333,202415,3,3,105,NA
8205333,202420,17,17,122,NA
8205333,202510,NA,NA,122,NA
8205333,202515,NA,NA,122,NA
8205394,202210,13,29,29,NA
8205394,202220,15,15,44,NA
8205394,202310,13,13,57,NA
8205394,202320,18,18,75,NA
8205394,202410,12,12,87,NA
8205394,202420,15,15,102,NA
8205394,202510,NA,NA,102,NA
8205394,202520,NA,NA,102,NA
8205678,202130,4,4,4,NA
8205678,202210,15,21,25,NA
8205678,202220,11,11,36,NA
8205678,202310,15,15,51,NA
8205678,202320,12,12,63,NA
8205734,202210,17,23,23,NA
8205734,202220,15,15,38,NA
8205784,202210,15,24,24,NA
8205784,202215,3,3,27,NA
8205784,202220,15,15,42,NA
8205784,202310,12,12,54,NA
8205784,202315,6,6,60,NA
8205784,202320,16,16,76,NA
8205784,202410,12,12,88,NA
8205784,202420,15,15,103,NA
8205784,202510,0,0,103,NA
8205784,202515,NA,NA,103,NA
8205784,202520,NA,NA,103,NA
8206209,202210,15,18,18,NA
8206209,202220,15,15,33,NA
8206209,202310,15,15,48,NA
8206209,202320,15,15,63,NA
8206209,202410,15,15,78,NA
8206209,202420,15,15,93,NA
8206209,202510,NA,NA,93,NA
8206209,202520,NA,NA,93,NA
8206323,202210,13,13,13,NA
8206323,202215,0,0,13,NA
8206323,202220,15,15,28,NA
8206323,202310,12,12,40,NA
8206323,202320,14,14,54,NA
8206323,202330,0,0,54,NA
8206374,202210,15,49,49,NA
8206374,202220,16,16,65,NA
8206374,202310,17,17,82,NA
8206374,202320,15,15,97,NA
8206374,202410,15,15,112,NA
8206374,202415,6,6,118,NA
8206374,202420,15,15,133,NA
8206374,202510,NA,NA,133,NA
8206527,202210,17,40,40,NA
8206527,202220,17,17,57,NA
8206527,202230,0,0,57,NA
8206527,202310,16,16,73,NA
8206527,202320,15,15,88,NA
8206527,202410,16,16,104,NA
8206527,202415,6,6,110,NA
8206527,202420,15,15,125,NA
8206527,202510,NA,NA,125,NA
8206527,202515,NA,NA,125,NA
8206589,202210,12,12,12,NA
8206589,202220,15,15,27,NA
8206589,202310,15,15,42,NA
8206589,202320,12,12,54,NA
8206589,202330,3,3,57,NA
8206589,202410,14,14,71,NA
8206589,202415,1,1,72,NA
8206589,202420,0,12,84,NA
8206589,202430,3,3,87,NA
8206589,202510,NA,NA,87,NA
8206673,202210,12,21,21,NA
8206673,202220,14,14,35,NA
8206673,202230,3,8,43,NA
8206673,202310,15,15,58,NA
8206673,202320,13,13,71,NA
8206673,202330,3,3,74,NA
8206673,202410,14,14,88,NA
8206673,202420,0,15,103,NA
8206673,202510,NA,NA,103,NA
8206673,202515,NA,NA,103,NA
8206673,202520,NA,NA,103,NA
8207056,202210,16,24,24,NA
8207056,202220,15,15,39,NA
8207056,202310,19,19,58,NA
8207056,202320,15,15,73,NA
8207056,202410,15,15,88,NA
8207056,202420,15,15,103,NA
8207056,202510,NA,NA,103,NA
8208062,202210,15,26,26,NA
8208062,202220,15,15,41,NA
8208062,202310,15,15,56,NA
8208062,202320,15,15,71,NA
8208062,202410,15,15,86,NA
8208062,202420,15,15,101,NA
8208062,202510,NA,NA,101,NA
8208211,202210,17,61,61,NA
8208211,202220,12,12,73,NA
8208211,202310,15,15,88,NA
8208211,202320,16,16,104,NA
8208211,202410,15,15,119,NA
8208211,202415,6,6,125,NA
8208211,202420,15,15,140,NA
8208211,202510,NA,NA,140,NA
8216877,202110,17,45.5,45.5,NA
8216877,202120,14,14,59.5,NA
8216939,202110,7,7,7,NA
8216939,202120,3,3,10,NA
8216939,202210,3,3,13,NA
8216939,202220,3,3,16,NA
8216939,202310,7,7,23,NA
8216939,202320,3,3,26,NA
8216939,202410,15,31,57,NA
8216939,202420,16,16,73,NA
8216939,202510,NA,NA,73,NA
8216939,202520,NA,NA,73,NA
8216970,202210,17,20,20,NA
8216970,202220,17,17,37,NA
8216970,202310,15,15,52,NA
8216970,202320,16,16,68,NA
8216970,202330,0,3,71,NA
8216970,202410,16.5,16.5,87.5,NA
8216970,202420,15,15,102.5,NA
8216970,202510,NA,NA,102.5,NA
8217036,202210,15,49,49,NA
8217036,202220,19,19,68,NA
8217036,202310,18,18,86,NA
8217036,202320,15,15,101,NA
8217036,202410,19,19,120,NA
8217036,202420,15,15,135,NA
8217036,202510,NA,NA,135,NA
8217036,202520,NA,NA,135,NA
8217044,202210,16,23,23,NA
8217044,202220,15,15,38,NA
8217044,202230,5,5,43,NA
8217044,202310,16,16,59,NA
8217044,202320,15,15,74,NA
8217044,202410,18,18,92,NA
8217044,202420,15,15,107,NA
8217044,202510,NA,NA,107,NA
8218436,202110,7,7,7,NA
8218436,202120,6,6,13,NA
8218436,202210,17,40,53,NA
8218436,202220,15,15,68,NA
8218436,202310,15,15,83,NA
8218436,202320,12,12,95,NA
8218436,202410,18,18,113,NA
8218436,202420,12,12,125,NA
8221753,202120,12,12,12,NA
